epoch,lr,train_loss,val_pooled_db_w1,val_pooled_db_w2,val_pooled_db_w3,val_pooled_db_w4,val_median_db_w1,val_median_db_w4,val_align_median_db_w1,val_rho_w1,copy_last_pooled_db_w1,epoch_sec,gpu_mem_mb
1,0.0003,0.7978439147696182,-8.338333545606453,-7.678946253236364,-7.0972212942847985,-6.520484968991312,-10.29898898562756,-8.498049422234516,-11.447932084687189,0.9635100364685059,-4.450766060778026,3618.2807998657227,13116.5029296875
2,0.0002995135962201315,0.17326036509371415,-10.841911412400346,-10.008154355695387,-9.278055268503513,-8.53928245335631,-13.946012992556774,-11.699290813087774,-15.621334555718066,0.9862011671066284,-4.450766060778026,2988.4327504634857,13116.5029296875
3,0.00029805753939568687,0.1321585661360289,-11.322734818077008,-10.359636337235354,-9.560850404961718,-8.782941160524372,-14.84164481688634,-12.257970187344053,-16.505890414254946,0.988758385181427,-4.450766060778026,2984.0576708316803,13116.5029296875
4,0.00029564127261390776,0.11389890912940624,-11.556855809758908,-10.588918754566023,-9.806935949554589,-8.983471467934038,-15.482694878749461,-12.703147073352827,-17.006900599248176,0.9899893999099731,-4.450766060778026,2908.267117023468,13116.5029296875
5,0.00029228046629207175,0.10239997811462738,-11.3215473889536,-10.361883965840459,-9.586931132304613,-8.707827542041088,-15.004340398207283,-12.297236306099151,-16.47002965117967,0.9886646270751953,-4.450766060778026,2973.44521856308,13116.5029296875
6,0.0002879969165488236,0.0946568107173191,-11.43819972226324,-10.442146086228385,-9.574356285152577,-8.783700398061837,-15.619751577858295,-12.845743009290418,-17.12761710972675,0.9902651906013489,-4.450766060778026,2967.0127716064453,13116.5029296875
7,0.0002828184038479814,0.08862513933991105,-11.666815770706966,-10.625126632106838,-9.7751117294993,-8.966908646346715,-16.149461405211632,-13.268740977167228,-17.554296641146593,0.9911801815032959,-4.450766060778026,2966.6495938301086,13116.5029296875
8,0.0002767785128315692,0.08446316026180897,-11.681117687482697,-10.676572141666355,-9.820112871602898,-9.022667878365159,-16.27604602359289,-13.245882617680264,-17.788044822100613,0.9916442632675171,-4.450766060778026,2974.9987132549286,13116.5029296875
9,0.00026991641451052517,0.0809994405896569,-11.657745499640155,-10.61666862856135,-9.763915183124656,-8.988970455303946,-16.176445809475418,-13.387647237717538,-17.698788478710362,0.9914700388908386,-4.450766060778026,2953.0412192344666,13116.5029296875
10,0.00026227661222566516,0.07804456466594506,-11.71852795469112,-10.787333667853833,-9.949954976132044,-9.139489054326603,-16.45731400169712,-13.441166472261495,-17.92039162193869,0.9918960928916931,-4.450766060778026,3035.7939908504486,13116.5029296875
11,0.0002539086530264399,0.0758861612700297,-11.754167378624311,-10.829265029762569,-10.035419149362419,-9.28124423591127,-16.64151454131966,-13.678935610701506,-17.92555837557573,0.9919058084487915,-4.450766060778026,2979.1029093265533,13116.5029296875
12,0.0002448668063393066,0.07355554486463269,-11.854584316404965,-10.828376181491898,-9.949911247750137,-9.135060296705468,-16.752849311990552,-13.655486561462261,-18.060143365175335,0.9921537637710571,-4.450766060778026,2938.055518388748,13116.5029296875
13,0.00023520971200967334,0.07163408131040366,-11.811874617839258,-10.865867857206084,-10.01077788268072,-9.204173388910787,-16.743980804689027,-13.70565352181723,-18.107181151557167,0.9922385811805725,-4.450766060778026,2981.7607011795044,13116.5029296875
14,0.000225,0.07005435653122787,-11.796734320314219,-10.852736048699388,-9.926982546725384,-9.247207207131327,-16.936225112764532,-13.75538695545774,-18.26821581590731,0.9925221800804138,-4.450766060778026,2971.757221221924,13116.5029296875
15,0.0002143038842104581,0.06869057866756532,-11.865472447631223,-10.927373484612719,-9.998017438854225,-9.305484228185675,-16.86079310192099,-13.881976311040638,-18.233521009368204,0.9924619793891907,-4.450766060778026,3428.2247285842896,13116.5029296875
16,0.0002031907330563803,0.06737247164216137,-11.89742390106764,-10.870052574005388,-9.95751248587736,-9.269887927262092,-17.00398475336521,-13.929551306162086,-18.31474707774212,0.9926021695137024,-4.450766060778026,3211.2743837833405,13116.5029296875
17,0.0001917326195874679,0.06620778579030948,-11.842040010421542,-10.954207887983438,-9.978251869852643,-9.247564166858737,-16.98192634795287,-13.880503931452175,-18.346117946062794,0.9926556348800659,-4.450766060778026,3849.9023008346558,13116.5029296875
18,0.00018000385406640666,0.06511443506281171,-11.860732165511905,-10.848121558184332,-9.954643523847425,-9.255489219307314,-16.981629806278992,-13.849161910919948,-18.375294681217454,0.9927049875259399,-4.450766060778026,3939.6584486961365,13116.5029296875
19,0.00016808050203829842,0.06388870961449272,-11.797514823929003,-10.741001282944948,-9.869143884362238,-9.17570310854802,-16.9631289525005,-13.724536523640033,-18.26373579138796,0.992514431476593,-4.450766060778026,4453.070095777512,13116.5029296875
20,0.00015603989101641228,0.06288414820959601,-11.909956283014045,-10.862253747423086,-10.004217345320942,-9.27060891484037,-17.084493648323765,-13.916933735038565,-18.39567813671957,0.9927392601966858,-4.450766060778026,3219.42316031456,13116.5029296875
