epoch,lr,train_loss,val_pooled_db_w1,val_pooled_db_w2,val_pooled_db_w3,val_pooled_db_w4,val_median_db_w1,val_median_db_w4,val_align_median_db_w1,val_rho_w1,copy_last_pooled_db_w1,epoch_sec,gpu_mem_mb
1,0.0003,0.788035953109024,-8.822110251017632,-8.117586180240345,-7.478326555720498,-6.974747613548914,-10.869736290460928,-9.19136472151314,-12.18410056636703,0.9692899584770203,-4.450766060778026,3762.2383778095245,13765.5703125
2,0.0002995135962201315,0.16672967708187658,-11.09274012365757,-10.158778479734945,-9.359549528967346,-8.619379351559239,-14.339305400942175,-11.881636302367399,-15.798954386850927,0.9867578148841858,-4.450766060778026,4129.011165857315,13765.5703125
3,0.00029805753939568687,0.12809044834167282,-11.434635801348785,-10.502709406089338,-9.64241526054138,-8.821305783403673,-14.805765278522355,-12.302808901082404,-16.507847629535114,0.9887634515762329,-4.450766060778026,3448.1093854904175,13765.5703125
4,0.00029564127261390776,0.11131938934179662,-11.509082875796924,-10.496764441746926,-9.67548424960589,-8.774343874398662,-15.348585427483393,-12.562497167746308,-16.804186362501078,0.9895085096359253,-4.450766060778026,3438.71896982193,13765.5703125
5,0.00029228046629207175,0.09987464178118234,-11.671054880891177,-10.638909754549895,-9.791800521293514,-8.986045854633561,-15.689570866917872,-12.793235147455547,-17.324359560034132,0.9906983375549316,-4.450766060778026,4177.946610927582,13765.5703125
6,0.0002879969165488236,0.09263175056207026,-11.617710720832168,-10.582304658712527,-9.631631027833754,-8.744894647941209,-16.002310825191095,-12.652645323723164,-17.54939104083213,0.9911701679229736,-4.450766060778026,3656.896376848221,13765.5703125
7,0.0002828184038479814,0.08744090060203198,-11.542299302871768,-10.54260738576783,-9.584100790518091,-8.676879134985757,-15.919102308007492,-12.52085625225623,-17.40037191991015,0.9908605217933655,-4.450766060778026,3734.132537126541,13765.5703125
8,0.0002767785128315692,0.08368127913667876,-11.685214697468918,-10.585159234835666,-9.594286062911088,-8.709892033781031,-16.176029899705327,-12.742804189994985,-17.61715806575959,0.9913074970245361,-4.450766060778026,3536.6047513484955,13765.5703125
9,0.00026991641451052517,0.08064397575565055,-11.671855550488202,-10.665836224359026,-9.679256560953027,-8.856644467734379,-16.348412466687524,-12.940069142720706,-17.792947399357175,0.9916537404060364,-4.450766060778026,3438.967854499817,13765.5703125
10,0.00026227661222566516,0.07746387493321785,-11.713997655300695,-10.528675301824155,-9.634459965930224,-8.785278864978602,-16.234263298827862,-12.900540408242716,-17.960733250739146,0.9919713735580444,-4.450766060778026,3413.7635111808777,13765.5703125
