epoch,lr,train_loss,val_pooled_db_w1,val_pooled_db_w2,val_pooled_db_w3,val_pooled_db_w4,val_median_db_w1,val_median_db_w4,val_align_median_db_w1,val_rho_w1,copy_last_pooled_db_w1,epoch_sec,gpu_mem_mb
1,0.0003,0.7781669626791815,-8.909667789765539,-8.076587301399309,-7.4489734597470925,-6.812901494186946,-10.965130775984576,-9.040862907896255,-12.310421188202843,0.9701838493347168,-4.450766060778026,4231.48796582222,14224.6787109375
2,0.0002995135962201315,0.1668341143179245,-11.084452191287388,-10.149113653745538,-9.316251131389649,-8.600000157928008,-14.128039092684944,-11.875126177413943,-15.676439550328086,0.9863762855529785,-4.450766060778026,3599.756315469742,14224.6787109375
3,0.00029805753939568687,0.12560239042950277,-11.052151343632113,-10.019742135438063,-9.150112866207273,-8.387489158669268,-14.26410489518239,-11.926705629654478,-15.837810509987364,0.9868765473365784,-4.450766060778026,3650.2610557079315,14224.6787109375
4,0.00029564127261390776,0.10930973867139483,-11.559105799349433,-10.443322060419248,-9.452321074144914,-8.640960444431144,-15.55200693294984,-12.375337092452291,-17.052062561689354,0.990093469619751,-4.450766060778026,3604.6754450798035,14224.6787109375
5,0.00029228046629207175,0.09868403222847599,-11.43401356903047,-10.417362806356564,-9.462729702846428,-8.57264633095739,-15.462598340551635,-12.387335116478848,-17.07372219787412,0.9901430606842041,-4.450766060778026,3605.1565611362457,14224.6787109375
6,0.0002879969165488236,0.09098439039979515,-11.841211214864877,-10.781296345440854,-9.865119540456964,-8.969646095817067,-16.14113675060825,-12.73497554546547,-17.5399489798875,0.9911508560180664,-4.450766060778026,3555.17417883873,14224.6787109375
7,0.0002828184038479814,0.08559527159236145,-11.711223045147383,-10.790626472194756,-9.860938450818072,-9.076158473402959,-16.399131978824315,-13.10702698614596,-17.76363007411371,0.9915969371795654,-4.450766060778026,3610.37673330307,14224.6787109375
8,0.0002767785128315692,0.08124273753747539,-11.876531957285676,-10.881294282833203,-9.952992895661884,-9.139552145464435,-16.625682932068315,-13.356588732602692,-17.909540645638685,0.9918757677078247,-4.450766060778026,3513.3394646644592,14224.6787109375
9,0.00026991641451052517,0.07794474558979922,-11.884738229902228,-10.949912616922834,-10.045621405294236,-9.191652850978665,-16.551322023712736,-13.237859937716182,-17.893796886046772,0.9918460845947266,-4.450766060778026,3497.273286342621,14224.6787109375
10,0.00026227661222566516,0.07520162009028256,-12.006785033162817,-10.97302330794767,-10.093708492034057,-9.233247202357076,-16.910075407074466,-13.287142631723533,-18.29162872829729,0.9925625324249268,-4.450766060778026,3474.942056655884,14224.6787109375
11,0.0002539086530264399,0.07280412566149326,-12.022172628498547,-11.085714079385632,-10.157409418667076,-9.303671218734367,-17.274937814692024,-13.541906991202705,-18.534478708592953,0.9929684400558472,-4.450766060778026,3564.335913658142,14224.6787109375
12,0.0002448668063393066,0.07083775106824049,-12.067921727362123,-11.119141354531767,-10.211121004051707,-9.39523028019726,-17.365970088868288,-13.676965673768226,-18.574888760269605,0.993033766746521,-4.450766060778026,3524.8168263435364,14224.6787109375
13,0.00023520971200967334,0.06881463171494559,-12.068590641124604,-11.127197771567944,-10.182647216309386,-9.387979997778492,-17.44047214298886,-13.77749590248808,-18.72105228622857,0.9932651519775391,-4.450766060778026,3501.209346294403,14224.6787109375
14,0.000225,0.06729217469395064,-12.069107142373927,-11.116051463335426,-10.151759473368699,-9.342864481943721,-17.744741565359668,-13.781677395037796,-18.87426397042939,0.9934993386268616,-4.450766060778026,3473.7609264850616,14224.6787109375
15,0.0002143038842104581,0.06587376410977626,-12.112438724553542,-11.145437590768266,-10.238847976580836,-9.456718431961082,-17.554807735751183,-14.105745996009142,-18.810415529170108,0.9934027194976807,-4.450766060778026,3486.686316013336,14224.6787109375
16,0.0002031907330563803,0.0647141885448808,-12.111344960079201,-11.184799561795968,-10.24673081861247,-9.446653176228919,-17.75111681046792,-14.013499736207686,-18.96056972119884,0.993627667427063,-4.450766060778026,3488.8640851974487,14224.6787109375
17,0.0001917326195874679,0.06370616747625639,-12.064645259384413,-11.142631153518145,-10.182435458942432,-9.43378642764182,-17.74384577395809,-14.117783110780588,-18.954033908500556,0.9936180114746094,-4.450766060778026,3482.0702888965607,14224.6787109375
18,0.00018000385406640666,0.06276311492413496,-12.077107024902586,-11.146950691195308,-10.223693619218025,-9.39801137101586,-17.62182389309224,-14.05435671202854,-18.927543674989074,0.9935788512229919,-4.450766060778026,3911.8974888324738,14224.6787109375
19,0.00016808050203829842,0.06164635913342019,-12.027642991172385,-11.136039326019437,-10.209085999109872,-9.42741718562292,-17.786635380377696,-14.087472536933266,-19.035752586218337,0.9937373399734497,-4.450766060778026,3669.322617292404,14224.6787109375
20,0.00015603989101641228,0.0607680018537535,-12.111133125079999,-11.186017859739842,-10.220843860634783,-9.39053573710535,-17.857230218057925,-14.056850762990592,-18.960182592121303,0.9936270713806152,-4.450766060778026,3700.1749396324158,14224.6787109375
21,0.00014396010898358775,0.060007764983501716,-12.08234404496366,-11.145045278037223,-10.216565139477636,-9.40269801386434,-17.851316605008854,-14.183928424057274,-19.053587535220387,0.9937630891799927,-4.450766060778026,4039.7223675251007,14224.6787109375
