epoch,lr,train_loss,val_pooled_db_w1,val_pooled_db_w2,val_pooled_db_w3,val_pooled_db_w4,val_median_db_w1,val_median_db_w4,val_align_median_db_w1,val_rho_w1,copy_last_pooled_db_w1,epoch_sec,gpu_mem_mb
1,0.0003,0.7736729419474123,-8.726271937743233,-7.9850684122724065,-7.440866122693434,-6.805887193016101,-10.668267671323305,-9.005160745794061,-11.74340139688038,0.9659523963928223,-4.450766060778026,3562.642716884613,14224.6787109375
2,0.0002995135962201315,0.16512756350462052,-11.199914570454673,-10.197810231254731,-9.413205743299141,-8.7176352047013,-14.452643297673557,-11.926529917071512,-15.999032559938273,0.9873578548431396,-4.450766060778026,3438.742413043976,14224.6787109375
3,0.00029805753939568687,0.12674589257132043,-11.527743849880945,-10.445800247927966,-9.60500981923077,-8.794119944524777,-15.042006912111365,-12.516614977361098,-16.703949147903415,0.9892622232437134,-4.450766060778026,3453.2546832561493,14224.6787109375
4,0.00029564127261390776,0.10918065350422909,-11.660901888842584,-10.591115081419503,-9.679716989451972,-8.793974783903499,-15.304235152053671,-12.431498962638042,-16.859715245545512,0.9896425008773804,-4.450766060778026,3464.1497864723206,14224.6787109375
5,0.00029228046629207175,0.09834347442988065,-11.754519135104214,-10.813807634411086,-9.919485534059332,-9.063007220629649,-15.926697874796766,-13.175853485957614,-17.456559060926804,0.9909785389900208,-4.450766060778026,3495.6038942337036,14224.6787109375
6,0.0002879969165488236,0.09110688113830946,-11.861778749621099,-10.78666438762393,-9.92484526594361,-9.111151248569865,-16.22919167626538,-13.188270182356726,-17.654390131170477,0.9913820028305054,-4.450766060778026,3801.3009531497955,14224.6787109375
7,0.0002828184038479814,0.08594962800443919,-12.035433947313072,-10.962360639417481,-10.065603972454394,-9.253523799728075,-16.59307142899778,-13.4922768255509,-18.002727710815744,0.9920488595962524,-4.450766060778026,3508.5126831531525,14224.6787109375
8,0.0002767785128315692,0.08167989007619314,-12.063213224738327,-10.99018998490692,-10.074055482631854,-9.251467446707423,-16.854102776144984,-13.684813358865075,-18.125585015381198,0.9922715425491333,-4.450766060778026,3494.3386585712433,14224.6787109375
9,0.00026991641451052517,0.0780974953973457,-12.213904999075995,-11.069400414354249,-10.209536757771186,-9.372009022039668,-16.877555810226283,-13.70733201196979,-18.139257975522504,0.9922959208488464,-4.450766060778026,3485.8846292495728,14224.6787109375
10,0.00026227661222566516,0.07522922055946964,-12.074623498314628,-11.05827405372397,-10.2212486349959,-9.3831725922793,-17.12511270217639,-13.814908174641833,-18.25712834996405,0.9925029873847961,-4.450766060778026,3472.416028738022,14224.6787109375
