epoch,lr,train_loss,val_pooled_db_w1,val_pooled_db_w2,val_pooled_db_w3,val_pooled_db_w4,val_median_db_w1,val_median_db_w4,val_align_median_db_w1,val_rho_w1,copy_last_pooled_db_w1,epoch_sec,gpu_mem_mb
1,0.0003,0.7885265264177398,-8.08218581027498,-7.4404684689893585,-6.874412513081433,-6.353488329524285,-10.17398286854108,-8.401826244467582,-11.342181285634943,0.9625930786132812,-4.450766060778026,3909.838481903076,13765.5703125
2,0.0002995135962201315,0.1768283327000834,-10.480922826982418,-9.663920714544876,-8.976428835327381,-8.226915255066595,-13.476605953093499,-11.265309466577511,-15.044886296992923,0.9842268228530884,-4.450766060778026,3361.7332661151886,13765.5703125
3,0.00029805753939568687,0.13285620590674835,-11.224867185338145,-10.20061249257235,-9.439206929223204,-8.720940832391568,-14.621037573205863,-11.9653581263195,-16.268690060708472,0.9881235361099243,-4.450766060778026,3358.0060710906982,13765.5703125
4,0.00029564127261390776,0.11462381258074776,-11.281721360478155,-10.197485537597633,-9.362359563281085,-8.670076551472812,-14.7886633593384,-11.937520604873896,-16.561919866535405,0.988903284072876,-4.450766060778026,3364.7636456489563,13765.5703125
5,0.00029228046629207175,0.10308514387327714,-11.425686820106968,-10.328016286720798,-9.47045888738196,-8.678489035822327,-15.158402309273178,-12.012696046846937,-16.721928180552766,0.9893068671226501,-4.450766060778026,3369.7179799079895,13765.5703125
6,0.0002879969165488236,0.09617057741075331,-11.520494445028381,-10.346677661381015,-9.503898035382575,-8.761560092468182,-15.244578627814079,-12.125106577542645,-17.315421704645964,0.990679144859314,-4.450766060778026,3746.004097223282,13765.5703125
7,0.0002828184038479814,0.09056774875935758,-11.364016412003792,-10.353704411892647,-9.47014272528586,-8.710968680440685,-15.510994532203515,-12.092619680573328,-17.320237482234887,0.9906895160675049,-4.450766060778026,3416.0783529281616,13765.5703125
8,0.0002767785128315692,0.08644128699046032,-11.406130716141059,-10.296747233906892,-9.496037863879039,-8.756876974686628,-15.551862275881806,-12.348874723328262,-17.350693270932865,0.9907548427581787,-4.450766060778026,3420.6415185928345,13765.5703125
9,0.00026991641451052517,0.08338672927831378,-11.635072448930238,-10.385136116440117,-9.475213194719842,-8.729723797919553,-16.14972423619517,-12.566433984180033,-17.618294800216617,0.9913097620010376,-4.450766060778026,3427.273987531662,13765.5703125
10,0.00026227661222566516,0.08017639253782978,-11.764916707913098,-10.668912793400398,-9.772923119694456,-8.976672287896509,-16.19891939940763,-12.686531910114162,-17.718375984045828,0.9915086030960083,-4.450766060778026,3422.4419026374817,13765.5703125
11,0.0002539086530264399,0.0777806001040259,-11.72510767991901,-10.559075618847494,-9.718283851202841,-8.951262188655706,-16.249305752654358,-12.666531799954136,-17.783070090081825,0.9916346669197083,-4.450766060778026,3411.770449399948,13765.5703125
12,0.0002448668063393066,0.0757291868737479,-11.767031722388907,-10.461618371229553,-9.683227200948371,-8.925067388427957,-16.377247546691983,-12.771946437848754,-17.756906803797513,0.9915839433670044,-4.450766060778026,3398.9213831424713,13765.5703125
13,0.00023520971200967334,0.07427589341897202,-11.5669322932827,-10.467590756010335,-9.629236371261909,-8.822040180594877,-16.219372362597284,-12.476356316410715,-17.74496974095719,0.9915606379508972,-4.450766060778026,3398.3878185749054,13765.5703125
14,0.000225,0.07192806925428687,-11.710439246199947,-10.523426857725546,-9.611165780546202,-8.827720346209812,-16.423754020848428,-12.64370641572973,-17.91800287771254,0.991891622543335,-4.450766060778026,3398.989389181137,13765.5703125
15,0.0002143038842104581,0.07034483215455531,-11.748062837686915,-10.527623971383228,-9.657266342490287,-8.895256247273194,-16.57644725960631,-12.895903931628027,-17.986252365983653,0.9920185804367065,-4.450766060778026,3627.871033191681,13765.5703125
