epoch,lr,train_loss,val_pooled_db_w1,val_pooled_db_w2,val_pooled_db_w3,val_pooled_db_w4,val_median_db_w1,val_median_db_w4,val_align_median_db_w1,val_rho_w1,copy_last_pooled_db_w1,epoch_sec,gpu_mem_mb
1,0.0003,0.7816617528709009,-8.438743694291077,-7.713913857300463,-7.0934990642107385,-6.4943649122421725,-10.628777047195513,-8.736765774444835,-11.817433483444393,0.9665378332138062,-4.450766060778026,2747.0895144939423,12073.8515625
2,0.0002995135962201315,0.170955551807734,-10.863764360091729,-9.88013378679349,-9.125146530025308,-8.457874389821264,-14.063110086081297,-11.866246171387996,-15.546304360071748,0.9859589338302612,-4.450766060778026,2350.3694076538086,12073.8515625
3,0.00029805753939568687,0.13098622142008048,-11.247685654514235,-10.235886451144438,-9.394466582981293,-8.62592442017894,-14.81601363686245,-12.238525411359563,-16.606174785180404,0.9890164136886597,-4.450766060778026,2185.0176949501038,12073.8515625
4,0.00029564127261390776,0.1136370286568011,-11.515772302232062,-10.470184952145338,-9.569295907435807,-8.818727527034833,-15.345643955218598,-12.622427844321056,-16.594885518763924,0.9889876842498779,-4.450766060778026,2235.425573825836,12073.8515625
5,0.00029228046629207175,0.10175864968209417,-11.578707714857703,-10.51977039827704,-9.562349283079882,-8.859592548806095,-15.83532498219935,-12.816220162134428,-17.428360307124038,0.9909194707870483,-4.450766060778026,2252.7600536346436,12073.8515625
6,0.0002879969165488236,0.09583864183473616,-11.477337714264472,-10.505211001824401,-9.559073034284392,-8.818084171332659,-16.0724827590442,-12.978318527709419,-17.484115327321128,0.9910358190536499,-4.450766060778026,2251.367792367935,12073.8515625
7,0.0002828184038479814,0.08964592986262891,-11.69431126389295,-10.632151626698537,-9.663282008100945,-8.88257710183304,-16.09987779083289,-12.793783834008309,-17.647156047711686,0.9913675785064697,-4.450766060778026,2813.04589509964,12073.8515625
8,0.0002767785128315692,0.08521981513361444,-11.728450375164831,-10.651455965352127,-9.774744774990062,-9.012353816796713,-16.27687779352368,-13.193156664807507,-17.72151513958256,0.9915147423744202,-4.450766060778026,2574.2368149757385,12073.8515625
9,0.00026991641451052517,0.08243716796746933,-11.726623163469771,-10.683982471444853,-9.784762295229022,-9.061632528527433,-16.342407809189666,-13.267124487942276,-17.895255474953586,0.9918488264083862,-4.450766060778026,2859.9643268585205,12073.8515625
10,0.00026227661222566516,0.07899087615081014,-11.715119578263307,-10.686518844461968,-9.7808014347319,-9.024184016453445,-16.530898999550114,-13.370710408266248,-17.956615884081323,0.9919636845588684,-4.450766060778026,2698.528762102127,12073.8515625
11,0.0002539086530264399,0.07679170966542294,-11.703842529355326,-10.630948998750966,-9.652315810757312,-8.921166982720727,-16.420176767147822,-13.253939142073643,-18.0134621073695,0.9920686483383179,-4.450766060778026,2859.9298932552338,12073.8515625
12,0.0002448668063393066,0.07420212060922142,-11.723699747030436,-10.613822685036546,-9.719088909799837,-8.966838052791054,-16.74752580610785,-13.561981360417448,-18.11131815801738,0.9922460317611694,-4.450766060778026,3213.578384399414,12073.8515625
13,0.00023520971200967334,0.07197838726935256,-11.588901058392372,-10.598357069682846,-9.711001026536726,-8.934585546956638,-16.75686136992431,-13.580629363961224,-18.149135320516223,0.9923135042190552,-4.450766060778026,3087.083902359009,12073.8515625
14,0.000225,0.07016653776640143,-11.550856807405019,-10.495199587054056,-9.602393832348296,-8.85110687821651,-16.77749934196745,-13.543590310045175,-18.1473945926164,0.9923104047775269,-4.450766060778026,2966.5272834300995,12073.8515625
