epoch,lr,train_loss,val_pooled_db_w1,val_pooled_db_w2,val_pooled_db_w3,val_pooled_db_w4,val_median_db_w1,val_median_db_w4,val_align_median_db_w1,val_rho_w1,copy_last_pooled_db_w1,epoch_sec,gpu_mem_mb
1,0.0003,0.7719848887971907,-7.472676044657077,-6.855337385656605,-6.43914887988392,-5.926765148429858,-9.552416268700384,-7.813022147417737,-10.855857281120706,0.9580639600753784,-4.450766060778026,2985.3151154518127,8723.95458984375
2,0.0002995135962201315,0.18406179597897251,-9.873038791841884,-9.170932715436992,-8.572329589685758,-7.958398203040582,-12.875837464870632,-10.995010986135465,-14.231649299664056,0.9809470176696777,-4.450766060778026,1526.2259345054626,8723.95458984375
3,0.00029805753939568687,0.13765550460488463,-10.240976770500298,-9.356395630652942,-8.717911610836463,-8.06570352160464,-13.62246990892906,-11.413395282203103,-15.223453733108377,0.9848670959472656,-4.450766060778026,1551.4841690063477,8723.95458984375
4,0.00029564127261390776,0.11971727761410349,-10.48004667108496,-9.56156860352912,-8.93740257250387,-8.209882988979322,-14.013353391106836,-11.614778066047808,-15.883709368669383,0.987015426158905,-4.450766060778026,1581.889596939087,8723.95458984375
5,0.00029228046629207175,0.10810302125162013,-10.607483759247199,-9.696593433182862,-9.04757271654874,-8.30221083060978,-14.541325210976506,-12.105393874839649,-16.260573991107734,0.9881011843681335,-4.450766060778026,1488.4560279846191,8723.95458984375
6,0.0002879969165488236,0.1013008890468439,-10.618991272310419,-9.660510215066683,-8.87296004118437,-8.063162209022558,-14.682070676417258,-12.030797282059117,-16.43342623294177,0.988568127155304,-4.450766060778026,1490.0287430286407,8723.95458984375
7,0.0002828184038479814,0.09550949277309792,-10.587027620352071,-9.718919133901057,-9.000491935767759,-8.141609391885028,-14.808986819022333,-12.250757314043113,-16.578071210248613,0.9889447093009949,-4.450766060778026,1489.9204819202423,8723.95458984375
8,0.0002767785128315692,0.09089815324140761,-10.669179943494955,-9.721512072617717,-8.990400510992698,-8.22146383294068,-15.09831383625771,-12.27482075141112,-16.68884512858753,0.9892246723175049,-4.450766060778026,1490.5501322746277,8723.95458984375
9,0.00026991641451052517,0.08750760920678195,-10.760398521248986,-9.77387139506257,-9.04190333523361,-8.241373327660401,-15.399358776745984,-12.532381445384557,-16.90512871924003,0.989750862121582,-4.450766060778026,1490.3767411708832,8723.95458984375
10,0.00026227661222566516,0.08407966480144222,-10.840562308439555,-9.811862976817284,-9.08199411784375,-8.2353648609254,-15.416621172822113,-12.631996434714928,-16.97456788298866,0.9899142384529114,-4.450766060778026,1490.4243700504303,8723.95458984375
11,0.0002539086530264399,0.0825604190269872,-10.754811532945636,-9.810703759640125,-9.128055005130381,-8.306358032713465,-15.378594164172728,-12.638337089545928,-16.904728893178827,0.9897499084472656,-4.450766060778026,1490.6403143405914,8723.95458984375
12,0.0002448668063393066,0.07951481684568297,-10.808360115643206,-9.87485996775166,-9.130564123226875,-8.321942272205838,-15.61644528820186,-12.616690915411938,-17.131466651100585,0.9902738332748413,-4.450766060778026,1490.1486206054688,8723.95458984375
