epoch,lr,train_loss,val_pooled_db_w1,val_pooled_db_w2,val_pooled_db_w3,val_pooled_db_w4,val_median_db_w1,val_median_db_w4,val_align_median_db_w1,val_rho_w1,copy_last_pooled_db_w1,epoch_sec,gpu_mem_mb
1,0.0003,0.7828247610190374,-7.895140608942132,-7.39406391581187,-6.8813675930278215,-6.418382638656447,-9.84336957286793,-8.27731447982039,-11.084472989623286,0.960258960723877,-4.450766060778026,1505.8784883022308,8723.95458984375
2,0.0002995135962201315,0.17581667921011485,-10.497451590196821,-9.634099424350776,-8.845497411131458,-8.171939076530554,-13.48868736305796,-11.090574514547853,-15.129957389391397,0.9845351576805115,-4.450766060778026,1493.5661363601685,8723.95458984375
3,0.00029805753939568687,0.13157075588805547,-11.038129613203097,-10.150851703591076,-9.385163542445737,-8.660656060901124,-14.548963539614691,-12.166356354345588,-16.19161139212686,0.9879095554351807,-4.450766060778026,1492.954090833664,8723.95458984375
4,0.00029564127261390776,0.11368455880952781,-11.28334760176335,-10.252670257381066,-9.418490002819837,-8.622795599070269,-14.872079883838895,-12.222954685443153,-16.63174899677138,0.9890812635421753,-4.450766060778026,1493.0094110965729,8723.95458984375
5,0.00029228046629207175,0.10300445991125369,-11.188497738723049,-10.231955749192823,-9.368422225966436,-8.559833312613046,-14.971636442242946,-12.523807846156945,-16.42987496033514,0.9885587692260742,-4.450766060778026,1491.6951467990875,8723.95458984375
6,0.0002879969165488236,0.09643012110111765,-11.367871829002667,-10.312489109958156,-9.404837721102094,-8.608086617681522,-15.347003949133702,-12.82786935846246,-17.00073266665266,0.989975094795227,-4.450766060778026,1491.991027355194,8723.95458984375
7,0.0002828184038479814,0.09074432222856273,-11.526845671689593,-10.361930631115827,-9.493566935338654,-8.650986920006522,-15.443687587608649,-12.979061370239688,-17.0868586949248,0.9901729822158813,-4.450766060778026,1492.6997723579407,8723.95458984375
8,0.0002767785128315692,0.08676930219930175,-11.675022276074944,-10.568913823986751,-9.5933295990877,-8.759563485365053,-15.916547545349076,-13.308933308053943,-17.523277049293256,0.9911166429519653,-4.450766060778026,1491.6680459976196,8723.95458984375
9,0.00026991641451052517,0.08304351831386975,-11.693429396006207,-10.504733160880024,-9.54132577092009,-8.710038477830782,-16.123846832326137,-13.40342307915536,-17.593087865214976,0.991258978843689,-4.450766060778026,1492.9878132343292,8723.95458984375
10,0.00026227661222566516,0.08027538199310466,-11.58220093809615,-10.376992699952996,-9.459665272000828,-8.665995927250895,-16.2049926143899,-13.352371424422062,-17.616111356838708,0.9913053512573242,-4.450766060778026,1497.6787967681885,8723.95458984375
11,0.0002539086530264399,0.07800860659764158,-11.559549582594553,-10.357635323686187,-9.442694934651826,-8.646059301725655,-16.228086082862873,-13.445126854772175,-17.61853412326101,0.9913102388381958,-4.450766060778026,1492.4039006233215,8723.95458984375
12,0.0002448668063393066,0.07574266549788969,-11.538053865628587,-10.355899099604338,-9.414295007824563,-8.689437064399764,-16.397929327209006,-13.442349715052664,-17.78097307553587,0.9916306138038635,-4.450766060778026,1492.1294379234314,8723.95458984375
13,0.00023520971200967334,0.07384399495249709,-11.638580291513351,-10.407840068482441,-9.41255697896757,-8.640764048940737,-16.546317918042487,-13.451559822405425,-17.919124940625323,0.9918937683105469,-4.450766060778026,1492.120326757431,8723.95458984375
