epoch,lr,train_loss,val_pooled_db_w1,val_pooled_db_w2,val_pooled_db_w3,val_pooled_db_w4,val_median_db_w1,val_median_db_w4,val_align_median_db_w1,val_rho_w1,copy_last_pooled_db_w1,epoch_sec,gpu_mem_mb
1,0.0003,0.769066248919413,-7.556727424171546,-6.979808694939208,-6.529038141236175,-6.028125517264449,-9.556853335644751,-7.935884811486687,-10.806599857414884,0.9575750231742859,-4.450766060778026,1596.9340417385101,8723.95458984375
2,0.0002995135962201315,0.18005357087266632,-10.212725248753644,-9.423758351791937,-8.77884714386178,-8.115148051298526,-13.158181744445915,-11.123071399446463,-14.646907938278325,0.9826997518539429,-4.450766060778026,1589.8602137565613,8723.95458984375
3,0.00029805753939568687,0.13573116386946274,-10.653583611970241,-9.721011681886008,-9.035444124311185,-8.307795893632683,-14.121501228025636,-11.889920590853094,-15.623748407035986,0.9862088561058044,-4.450766060778026,2398.412355184555,8723.95458984375
4,0.00029564127261390776,0.11683947637410434,-10.731624100069455,-9.8122210987376,-9.003814941469985,-8.18936507185783,-14.093545531938517,-11.712024325210175,-15.857038150381415,0.9869349002838135,-4.450766060778026,1554.7064354419708,8723.95458984375
5,0.00029228046629207175,0.10612332350954962,-11.113164497334388,-10.143000963444678,-9.299746790882198,-8.484358078944068,-14.886393229139262,-12.292661340033609,-16.519824352267086,0.9887945652008057,-4.450766060778026,1520.0992922782898,8723.95458984375
6,0.0002879969165488236,0.09873274321633382,-10.876470408854686,-9.951744339427494,-9.07074421773885,-8.169204878642843,-14.73428712931408,-12.184058164962533,-16.61316540346104,0.9890341758728027,-4.450766060778026,1537.9021527767181,8723.95458984375
7,0.0002828184038479814,0.09294120791507181,-11.07518787561509,-10.085575424936803,-9.10672354410648,-8.17582534397843,-15.337961934719491,-12.375059920423151,-17.048020349173132,0.9900842308998108,-4.450766060778026,1562.487233877182,8723.95458984375
8,0.0002767785128315692,0.08883792411181106,-11.153421055565246,-10.179347970841313,-9.25032109090406,-8.398783759831073,-15.433964020478832,-12.712473882063538,-17.051845920392264,0.9900929927825928,-4.450766060778026,1488.9531285762787,8723.95458984375
9,0.00026991641451052517,0.08526634354088702,-11.179189463044153,-10.078842201036977,-9.143271347521223,-8.208795458685472,-15.511055820175622,-12.75310432038571,-17.127817505936918,0.9902656078338623,-4.450766060778026,1489.3160736560822,8723.95458984375
10,0.00026227661222566516,0.08241129911141608,-11.257379833016198,-10.224495302507774,-9.239500723155256,-8.320717454368204,-15.609882481925858,-12.811577744757408,-17.168761650877556,0.9903573989868164,-4.450766060778026,1490.0643599033356,8723.95458984375
11,0.0002539086530264399,0.08061152732338558,-11.189052399514555,-10.177965507188837,-9.234168734234323,-8.304634176425779,-15.443140932372389,-12.696811746493578,-17.053500554487062,0.9900968074798584,-4.450766060778026,1490.2269802093506,8723.95458984375
12,0.0002448668063393066,0.07782550453351873,-11.188408971494528,-10.19265135124827,-9.26080425270538,-8.318616400673614,-15.677368255608458,-12.744458841353042,-17.292449401548765,0.9906294345855713,-4.450766060778026,1489.7279250621796,8723.95458984375
13,0.00023520971200967334,0.07592987882189522,-11.373058084033563,-10.298097682286699,-9.337662530220012,-8.43634530243363,-15.960752393875747,-12.89397776956883,-17.53183230204244,0.9911342263221741,-4.450766060778026,1490.364268064499,8723.95458984375
14,0.000225,0.07399436036796386,-11.330537734780737,-10.232983125232858,-9.304370386105326,-8.44000071641312,-16.087584112479988,-13.089254582884566,-17.590716552874355,0.9912541508674622,-4.450766060778026,1489.5062248706818,8723.95458984375
15,0.0002143038842104581,0.07256656398001722,-11.246003109116636,-10.165552146650583,-9.197381654414919,-8.334699018602917,-16.080527640485016,-12.989410406450649,-17.524550479983198,0.9911192655563354,-4.450766060778026,1490.281435251236,8723.95458984375
16,0.0002031907330563803,0.07087233900165538,-11.258298500440533,-10.161915385296258,-9.210231574636595,-8.36120295022186,-16.01435417493468,-12.899021064178456,-17.504533557403185,0.9910780787467957,-4.450766060778026,1490.199717283249,8723.95458984375
17,0.0001917326195874679,0.06945891581028603,-11.284914427557469,-10.18929619224407,-9.233494446347631,-8.362909538947537,-16.079806923292495,-13.079327552118153,-17.706299926822616,0.9914848804473877,-4.450766060778026,1489.3720285892487,8723.95458984375
18,0.00018000385406640666,0.06830780782298258,-11.227367350004076,-10.101119733264772,-9.143446605357289,-8.303510362514555,-16.091460222216387,-13.044316209147404,-17.75936306309341,0.9915887117385864,-4.450766060778026,1489.8974394798279,8723.95458984375
