epoch,lr,train_loss,val_pooled_db_w1,val_pooled_db_w2,val_pooled_db_w3,val_pooled_db_w4,val_median_db_w1,val_median_db_w4,val_align_median_db_w1,val_rho_w1,copy_last_pooled_db_w1,epoch_sec,gpu_mem_mb
1,0.0003,0.7735468435529078,-8.776151874274621,-8.057402479179592,-7.439030463624645,-6.8328847831114,-10.834497769142754,-9.109567026083344,-12.044004707330132,0.9682666659355164,-4.450766060778026,3116.9871916770935,11883.892578125
2,0.0002995135962201315,0.16761244924899854,-10.94807011006495,-10.0488425869999,-9.321203564750794,-8.610153149768614,-13.987124305802695,-11.904074507694684,-15.829414894710538,0.9868509769439697,-4.450766060778026,2068.5874168872833,11883.892578125
3,0.00029805753939568687,0.12818240584831006,-11.509567789753469,-10.522547393581496,-9.761473873939122,-9.04603629596631,-15.473120883118106,-12.853823549463097,-16.8835591978568,0.9896995425224304,-4.450766060778026,2063.961000442505,11883.892578125
4,0.00029564127261390776,0.11253147565437241,-11.5393642130251,-10.521608552350468,-9.740041174934035,-8.88583775114139,-15.574087541180901,-12.702612286870501,-17.3498002472435,0.9907529354095459,-4.450766060778026,2064.3655397892,11883.892578125
5,0.00029228046629207175,0.1017900921439607,-11.709163537122569,-10.654797891672823,-9.77293539602243,-8.945865779673925,-15.87146305351412,-12.888677593033798,-17.294628705782554,0.9906342029571533,-4.450766060778026,2087.533054590225,11883.892578125
6,0.0002879969165488236,0.09293581930667026,-11.931397232347363,-10.814332026014881,-9.982353659030021,-9.189487926140357,-16.457507933233643,-13.498518606112174,-17.86239255222872,0.9917867183685303,-4.450766060778026,2594.3654124736786,11883.892578125
7,0.0002828184038479814,0.08661577279018887,-11.721728398523934,-10.752403581267968,-9.906461358356356,-9.138140916897209,-16.454929886360908,-13.461165342771192,-17.796577322302593,0.9916607141494751,-4.450766060778026,2628.971277952194,11883.892578125
8,0.0002767785128315692,0.08196250717907622,-11.814153191683967,-10.915625869778749,-10.080570614019761,-9.376776892031822,-16.582986274789704,-13.768735982030687,-17.876688885853746,0.9918137788772583,-4.450766060778026,2681.18670630455,11883.892578125
9,0.00026991641451052517,0.07824232450655037,-11.904186038190712,-10.921798941732455,-10.036688431004414,-9.283819797638266,-16.740969576882403,-13.613256883640283,-17.96029625542761,0.9919705390930176,-4.450766060778026,2835.0468850135803,11883.892578125
10,0.00026227661222566516,0.07527512299150364,-11.817860123821726,-10.948211936684935,-10.118754368258605,-9.361792542714168,-16.98363068588765,-13.947356185384855,-18.096229591229008,0.9922189116477966,-4.450766060778026,2369.3574821949005,11883.892578125
11,0.0002539086530264399,0.07275598035141717,-12.030109221859611,-11.046298496095892,-10.13470418588611,-9.409355088788548,-17.430043761819114,-13.957777036596461,-18.534229350257952,0.9929680228233337,-4.450766060778026,2079.532623052597,11883.892578125
12,0.0002448668063393066,0.07053315011369266,-12.067800353657132,-11.077879661890348,-10.222668117387547,-9.486675886700837,-17.4679625649195,-14.05039259573902,-18.662196928788653,0.9931728839874268,-4.450766060778026,2047.8544113636017,11883.892578125
13,0.00023520971200967334,0.06864340930545489,-12.120475634197065,-11.05294882692689,-10.258688532729836,-9.538818153573642,-17.6493993937302,-14.332702068083204,-18.611398784318062,0.9930922985076904,-4.450766060778026,2037.277600288391,11883.892578125
14,0.000225,0.06693654230481098,-12.161448583495751,-11.102783956601348,-10.22602708658848,-9.52175670595985,-17.725175406959607,-14.286927428691804,-18.808054124631283,0.9933991432189941,-4.450766060778026,2058.6195538043976,11883.892578125
15,0.0002143038842104581,0.0653179287063883,-12.189591067585024,-11.150562207428543,-10.29905035212435,-9.543682463545341,-17.739778662249883,-14.2660638765913,-18.879880628993106,0.9935077428817749,-4.450766060778026,2213.6336059570312,11883.892578125
16,0.0002031907330563803,0.06400595715566786,-12.173181587238505,-11.093379665294364,-10.242878723714743,-9.53878234108942,-17.774110048916036,-14.308398871079158,-18.805615384622406,0.9933954477310181,-4.450766060778026,2039.6118321418762,11883.892578125
17,0.0001917326195874679,0.06289968687988104,-12.181411531408994,-11.190249087352676,-10.381839946330672,-9.668472642460634,-17.97246288665996,-14.530898419801023,-19.053139958105398,0.9937624931335449,-4.450766060778026,2042.7902100086212,11883.892578125
18,0.00018000385406640666,0.06195515455579108,-12.196288393936523,-11.160527009991274,-10.347632183519124,-9.661750502280794,-17.931284633674426,-14.463461961202487,-19.015090608579023,0.9937074184417725,-4.450766060778026,2024.9518592357635,11883.892578125
19,0.00016808050203829842,0.0610933843372942,-12.218275829412136,-11.155913740944094,-10.34544172031054,-9.642524974210874,-18.102515653774674,-14.469464425483759,-19.129427319038115,0.9938714504241943,-4.450766060778026,2059.133581161499,11883.892578125
20,0.00015603989101641228,0.06030760810826851,-12.230695337070568,-11.22028195858734,-10.392065959898938,-9.66043622620742,-18.11580743739797,-14.518273611615307,-19.283882315000504,0.9940861463546753,-4.450766060778026,2049.427321434021,11883.892578125
21,0.00014396010898358775,0.059549328278725645,-12.186810619588499,-11.161683698864932,-10.365250995744145,-9.66429389070139,-18.05993997255209,-14.407066859503328,-19.207682621849187,0.9939811825752258,-4.450766060778026,2095.61798286438,11883.892578125
22,0.00013191949796170156,0.058824221131648126,-12.197125574628798,-11.183202136666777,-10.374361022337979,-9.694667751429698,-18.176093336014056,-14.563991013687886,-19.248444856484948,0.9940376281738281,-4.450766060778026,2078.966518640518,11883.892578125
23,0.00011999614593359334,0.0581899112310406,-12.248701047771737,-11.178443400675267,-10.400399523013451,-9.700291068232255,-18.30784629873812,-14.596794693498214,-19.38697038926886,0.9942253232002258,-4.450766060778026,2038.802964925766,11883.892578125
24,0.0001082673804125321,0.05755306134969148,-12.199172286459545,-11.140890076468812,-10.343058441135058,-9.632872734018775,-18.12493701562179,-14.542487953470044,-19.16202440707314,0.9939173460006714,-4.450766060778026,2035.122903585434,11883.892578125
25,9.680926694361964e-05,0.057001698704818415,-12.219515867745347,-11.173765447302383,-10.328871651929397,-9.64221964478739,-18.29144518491423,-14.54377582985587,-19.372406489019397,0.9942058324813843,-4.450766060778026,2025.0787024497986,11883.892578125
26,8.569611578954184e-05,0.05650153405934658,-12.166522604987257,-11.150633680277092,-10.370958057902424,-9.68256894187517,-18.279241716271954,-14.614827677599148,-19.338020043857462,0.9941596984863281,-4.450766060778026,2030.036251783371,11883.892578125
27,7.500000000000002e-05,0.05605496403374805,-12.173044794795052,-11.133402969261441,-10.316942846716184,-9.625561063456598,-18.304339666364495,-14.513036097404951,-19.32089518291025,0.9941365122795105,-4.450766060778026,2046.4283974170685,11883.892578125
28,6.479028799032664e-05,0.05562592538117025,-12.194080269104788,-11.122525237217964,-10.350127320189442,-9.635891398588113,-18.342544525866376,-14.599883569110542,-19.344314635297785,0.9941681623458862,-4.450766060778026,2047.1664500236511,11883.892578125
