epoch,lr,train_loss,val_pooled_db_w1,val_pooled_db_w2,val_pooled_db_w3,val_pooled_db_w4,val_median_db_w1,val_median_db_w4,val_align_median_db_w1,val_rho_w1,copy_last_pooled_db_w1,epoch_sec,gpu_mem_mb
1,0.0003,0.7878333065289423,-8.649930346098554,-7.974614814825154,-7.349713320722121,-6.733436196492404,-10.495832877553898,-9.006495713175294,-11.929500068475988,0.9674046039581299,-4.450766060778026,2494.644222021103,11883.892578125
2,0.0002995135962201315,0.16933515236333155,-11.152936165644334,-10.2334901752515,-9.456522122287236,-8.802247583025572,-14.485623288214184,-12.125990306813318,-15.971144241890455,0.9872758984565735,-4.450766060778026,2040.4034214019775,11883.892578125
3,0.00029805753939568687,0.1292143367205322,-11.515127227091686,-10.552032439247153,-9.7529915311633,-9.059998285388822,-15.128090339567413,-12.884633385639653,-16.81673022820899,0.9895389676094055,-4.450766060778026,2037.8694939613342,11883.892578125
4,0.00029564127261390776,0.1121844296619972,-11.852243874397226,-10.736518544256601,-9.947133598845175,-9.185260975229895,-15.91366136624797,-13.346144072654113,-17.33909125098859,0.9907300472259521,-4.450766060778026,2042.6051557064056,11883.892578125
5,0.00029228046629207175,0.10027637738482584,-11.990567547104511,-10.92234580286233,-10.0627862640941,-9.309559973383678,-16.25727535667017,-13.421240369262005,-17.73351074914866,0.9915382862091064,-4.450766060778026,2058.4599001407623,11883.892578125
6,0.0002879969165488236,0.09346272874899625,-11.910623582154209,-10.871686202877353,-10.098047610898803,-9.295982117642298,-16.36772000424697,-13.514851122226545,-17.866049323197505,0.9917936325073242,-4.450766060778026,2037.7740392684937,11883.892578125
7,0.0002828184038479814,0.08800448954772964,-12.040764630396094,-10.989678876230194,-10.155780927474694,-9.401291407003235,-16.664769532567032,-13.809365181996917,-18.020414337983667,0.992081344127655,-4.450766060778026,2077.7249989509583,11883.892578125
8,0.0002767785128315692,0.0838291147141037,-12.050068712484894,-11.06482086760775,-10.27970662642667,-9.493520515852627,-16.986568865066516,-13.918240826842379,-18.238246025642045,0.9924702048301697,-4.450766060778026,2064.996859073639,11883.892578125
9,0.00026991641451052517,0.0803988623551077,-12.062501230288898,-11.019876381119776,-10.209889422337682,-9.385852609350687,-16.960844578620648,-14.002775321707588,-18.17915812782163,0.9923666715621948,-4.450766060778026,2142.872081041336,11883.892578125
10,0.00026227661222566516,0.07750421295293396,-12.073137510411161,-11.065702005746815,-10.233323749845749,-9.469012814990114,-17.217191743938166,-14.197233525190704,-18.485509661349347,0.9928884506225586,-4.450766060778026,2248.567155599594,11883.892578125
