epoch,lr,train_loss,val_pooled_db_w1,val_pooled_db_w2,val_pooled_db_w3,val_pooled_db_w4,val_median_db_w1,val_median_db_w4,val_align_median_db_w1,val_rho_w1,copy_last_pooled_db_w1,epoch_sec,gpu_mem_mb
1,0.0003,0.7911969460958166,-8.405654256188285,-7.730936050761018,-7.108549028221688,-6.555592325890732,-10.212462549591955,-8.707291263828687,-11.546469183915256,0.964343786239624,-4.450766060778026,2476.5371351242065,11883.892578125
2,0.0002995135962201315,0.17473172249427787,-11.02601640272368,-10.197700640215789,-9.424392884809137,-8.763856077153765,-14.21432267875597,-12.020618847378374,-15.790662942171739,0.9867323637008667,-4.450766060778026,2068.9400243759155,11883.892578125
3,0.00029805753939568687,0.13294624217948559,-11.488843456456186,-10.45101992692552,-9.616259924045938,-8.895584004125677,-15.122303755453757,-12.389031336529385,-16.72182474537876,0.9893065690994263,-4.450766060778026,2046.810947418213,11883.892578125
4,0.00029564127261390776,0.11703070173451746,-11.55345878143859,-10.559997351720405,-9.784069306233189,-9.082498118602963,-15.62850147992981,-13.08878850082633,-17.02211761944298,0.9900246262550354,-4.450766060778026,2048.3829839229584,11883.892578125
5,0.00029228046629207175,0.1066570935713682,-11.73473717203491,-10.605807204493658,-9.795939733211036,-8.938500020619195,-15.816433029849263,-13.08912309596078,-17.386664888265816,0.9908314943313599,-4.450766060778026,2039.1843757629395,11883.892578125
6,0.0002879969165488236,0.09936942454393272,-11.79713230484136,-10.682754033709509,-9.867000240537875,-9.103676297568654,-16.14396045416123,-13.387224385728196,-17.503593767829543,0.9910761117935181,-4.450766060778026,2032.0316226482391,11883.892578125
7,0.0002828184038479814,0.09293714107878354,-11.847420607032786,-10.737410808095792,-9.927424631763873,-9.233085092856015,-16.23392631086572,-13.605605236890913,-17.85022548358279,0.9917635917663574,-4.450766060778026,2030.9448959827423,11883.892578125
8,0.0002767785128315692,0.08766493400184434,-11.941806941464804,-10.885661919785152,-9.985314354289192,-9.162663139192965,-16.41227091321873,-13.52010905404236,-17.81210487451313,0.9916906356811523,-4.450766060778026,2032.4594631195068,11883.892578125
9,0.00026991641451052517,0.08461439396431722,-11.796149452438264,-10.6534382925604,-9.753385912054057,-8.979768569791052,-16.409536258092352,-13.374908814112583,-17.870073751854076,0.9918012619018555,-4.450766060778026,2033.1418299674988,11883.892578125
10,0.00026227661222566516,0.08166479212423278,-11.73296205862422,-10.670516715907436,-9.757763728334854,-9.014122322768046,-16.550476227447664,-13.53058625617541,-18.013593178536624,0.992068886756897,-4.450766060778026,2048.642874956131,11883.892578125
11,0.0002539086530264399,0.07929507618036244,-11.594193365205314,-10.492680798146388,-9.702972854085477,-9.061164546147332,-16.6209316583874,-13.565407257326358,-18.000783306418604,0.9920452833175659,-4.450766060778026,2070.0408091545105,11883.892578125
12,0.0002448668063393066,0.07741931634169431,-11.694547679442378,-10.477103735028503,-9.615522457404506,-8.869392440291161,-16.887621995303682,-13.714289696726805,-18.143037408621712,0.992302656173706,-4.450766060778026,2071.3544557094574,11883.892578125
13,0.00023520971200967334,0.07534424403806574,-11.770592966261592,-10.659213068902957,-9.806951775253719,-9.089967819135218,-17.04537173733715,-13.74276269165358,-18.2981139558799,0.9925736784934998,-4.450766060778026,2059.1388444900513,11883.892578125
