epoch,lr,train_loss,val_pooled_db_w1,val_pooled_db_w2,val_pooled_db_w3,val_pooled_db_w4,val_median_db_w1,val_median_db_w4,val_align_median_db_w1,val_rho_w1,copy_last_pooled_db_w1,epoch_sec,gpu_mem_mb
1,0.0003,0.8260763281490351,-6.902054071886404,-6.322953027228299,-5.905408482938551,-5.4148360277452845,-8.43312374428854,-6.6530934374136095,-9.789889024588106,0.9460671544075012,-4.450766060778026,1541.607144355774,8719.8095703125
2,0.0002995135962201315,0.18954051624820797,-10.576094833956876,-9.673858697445503,-9.001848630237706,-8.399598300779985,-13.564175478692441,-11.323361750004281,-15.074472627636748,0.9843347072601318,-4.450766060778026,1527.3389954566956,8719.8095703125
3,0.00029805753939568687,0.138124652438411,-11.035783585359784,-10.066835932259345,-9.372864984129944,-8.739925906456573,-14.516822762868028,-12.308444813198735,-16.117697681442586,0.9877007007598877,-4.450766060778026,1528.4561967849731,8719.8095703125
4,0.00029564127261390776,0.12036365499639984,-11.300344096824023,-10.330219405329213,-9.540910452732788,-8.799245439873815,-15.047477155528451,-12.488305385096002,-16.508334171695104,0.988764762878418,-4.450766060778026,1530.7879605293274,8719.8095703125
5,0.00029228046629207175,0.107964422068982,-11.395250690020815,-10.413955619185732,-9.6795158488068,-8.981353472733737,-15.533589855551542,-12.687381916811216,-16.933048504930625,0.9898168444633484,-4.450766060778026,1528.616290807724,8719.8095703125
6,0.0002879969165488236,0.10031075493937332,-11.404813888153274,-10.412823211501834,-9.550750737103758,-8.844946118674446,-15.713439794641637,-12.73412755715649,-17.172128142848678,0.9903649091720581,-4.450766060778026,1612.228310585022,8719.8095703125
7,0.0002828184038479814,0.09468298225104947,-11.485349844677465,-10.413760468524664,-9.494902355503068,-8.808548584435611,-15.604525530548713,-12.534432497984882,-17.114929707568525,0.9902365803718567,-4.450766060778026,1558.8544023036957,8719.8095703125
8,0.0002767785128315692,0.08998530135754254,-11.587688715823695,-10.500469500991436,-9.701062519726753,-8.997773743472496,-16.159850054897817,-12.957701025808497,-17.594887765990705,0.9912625551223755,-4.450766060778026,1567.7915563583374,8719.8095703125
9,0.00026991641451052517,0.08636485438736193,-11.56381095870267,-10.520267237273192,-9.66306524213342,-8.981971145596019,-15.967799903099518,-12.99984549394562,-17.46959252449112,0.9910056591033936,-4.450766060778026,1598.5456075668335,8719.8095703125
10,0.00026227661222566516,0.08341555905252537,-11.594384448545934,-10.51549414941845,-9.648051694648144,-8.951159775732268,-15.957781672992144,-13.003789276353974,-17.587365870185934,0.9912474155426025,-4.450766060778026,1616.9115917682648,8719.8095703125
11,0.0002539086530264399,0.08096979958329281,-11.625714633195418,-10.500610527723648,-9.65170213952044,-8.909626761742969,-16.054734213009397,-13.100710286473435,-17.584426056388978,0.991241455078125,-4.450766060778026,1533.6834859848022,8719.8095703125
12,0.0002448668063393066,0.07859193469975556,-11.339835891984716,-10.19685821030977,-9.320083840291552,-8.645885982300749,-15.94699394773685,-12.840611981830559,-17.437189536225944,0.9909380078315735,-4.450766060778026,1503.8162047863007,8719.8095703125
13,0.00023520971200967334,0.07677887304898605,-11.674995812571504,-10.471062803658238,-9.531390493978183,-8.83419596632375,-16.406533121788282,-13.018970655539484,-17.91926123212713,0.991894006729126,-4.450766060778026,1504.9743983745575,8719.8095703125
