epoch,lr,train_loss,val_pooled_db_w1,val_pooled_db_w2,val_pooled_db_w3,val_pooled_db_w4,val_median_db_w1,val_median_db_w4,val_align_median_db_w1,val_rho_w1,copy_last_pooled_db_w1,epoch_sec,gpu_mem_mb
1,0.0003,0.7895565014686714,-7.699682640998864,-7.079503897788549,-6.588383510951973,-6.062501073613219,-9.663126002985607,-7.800414613896945,-11.065866688738392,0.9600847959518433,-4.450766060778026,1556.0918400287628,8719.8095703125
2,0.0002995135962201315,0.18373034253485646,-10.413231966327155,-9.603151614061817,-8.948426649634596,-8.284570563525053,-13.49650727862734,-11.475293107597075,-15.014407688793629,0.9841147661209106,-4.450766060778026,1482.625836133957,8719.8095703125
3,0.00029805753939568687,0.13752056621018527,-11.0744092368442,-10.064052523288511,-9.289340614412419,-8.554716165301624,-14.89772077770933,-12.183128381135877,-16.325509143897897,0.9882788062095642,-4.450766060778026,1482.6848702430725,8719.8095703125
4,0.00029564127261390776,0.12000286472152219,-11.072815961570864,-10.086977921600466,-9.32267770679329,-8.599505796214254,-14.552544557097267,-12.048833187662183,-16.124490214825087,0.9877200722694397,-4.450766060778026,1482.5434284210205,8719.8095703125
5,0.00029228046629207175,0.11032185440143753,-11.213400583686413,-10.21283840679583,-9.42658727664844,-8.669938474941238,-15.10610522708621,-12.332096414774034,-16.60906690435371,0.9890238046646118,-4.450766060778026,1483.3166975975037,8719.8095703125
6,0.0002879969165488236,0.10126288298352643,-11.219797001875914,-10.2144697570383,-9.437842902715325,-8.610687226417168,-15.38964921658641,-12.51540761757952,-16.83111950357163,0.9895737171173096,-4.450766060778026,1483.559094429016,8719.8095703125
7,0.0002828184038479814,0.09464121755675918,-11.527325497047222,-10.34325708695408,-9.569321099218769,-8.81386933540458,-15.824571586634423,-12.802957557017933,-17.35632283637873,0.9907668828964233,-4.450766060778026,1483.2480862140656,8719.8095703125
8,0.0002767785128315692,0.0903957404611604,-11.436484129969305,-10.3486091597735,-9.60812386256471,-8.810693261884134,-15.77939833564188,-12.802639518709153,-17.355893324780865,0.9907659888267517,-4.450766060778026,1483.4471204280853,8719.8095703125
9,0.00026991641451052517,0.08635018908393403,-11.448407655036847,-10.228611236434425,-9.534928640873193,-8.758623448597799,-15.904339628457038,-12.964266278274575,-17.469447966959446,0.9910054206848145,-4.450766060778026,1482.9326176643372,8719.8095703125
10,0.00026227661222566516,0.08347778045440603,-11.455591155963255,-10.45112321077146,-9.59378655133786,-8.821951884470316,-16.141893486856194,-13.09943272427572,-17.616432897188716,0.9913060069084167,-4.450766060778026,1490.2979226112366,8719.8095703125
11,0.0002539086530264399,0.08068899701917595,-11.537615560964687,-10.354145372827247,-9.550124229033457,-8.794725860621712,-16.009061800080318,-13.071613349864068,-17.512467948354384,0.9910944700241089,-4.450766060778026,1516.654337644577,8719.8095703125
12,0.0002448668063393066,0.07838653831673337,-11.51966165274523,-10.372351981313457,-9.506618582453685,-8.769766539697095,-16.198302148112024,-13.208150654432254,-17.609881184165893,0.9912928342819214,-4.450766060778026,1513.7237677574158,8719.8095703125
13,0.00023520971200967334,0.07618223169196371,-11.577068168747997,-10.41884453320123,-9.561345929041655,-8.803366082025674,-16.387450857372,-13.24358233624663,-17.841933502619877,0.9917477369308472,-4.450766060778026,1482.1506192684174,8719.8095703125
14,0.000225,0.07426458021268068,-11.369139041710678,-10.275816470191758,-9.478373128968139,-8.799477846788049,-16.415397081577662,-13.32107702914675,-17.901637658114748,0.9918608665466309,-4.450766060778026,1482.5268206596375,8719.8095703125
15,0.0002143038842104581,0.0727016271078435,-11.435052585520523,-10.327180940829068,-9.491499396558897,-8.762028070978165,-16.53330025338105,-13.386683057746723,-18.01752715410882,0.99207603931427,-4.450766060778026,1502.707713842392,8719.8095703125
16,0.0002031907330563803,0.07113084134812225,-11.5392358914376,-10.233442997413382,-9.414445584874397,-8.69460494423971,-16.529346804412732,-13.314777399401986,-17.96922297225293,0.9919871091842651,-4.450766060778026,1492.086709022522,8719.8095703125
17,0.0001917326195874679,0.06994595718305281,-11.437036388374153,-10.07916229591637,-9.27316681535207,-8.577141167076016,-16.530523684453463,-13.260971485541845,-17.935266662413845,0.9919239282608032,-4.450766060778026,1490.9404752254486,8719.8095703125
18,0.00018000385406640666,0.0689490621025084,-11.47085988205986,-10.249958853451481,-9.494393294172168,-8.764960461467998,-16.54349555703549,-13.451559468459852,-18.065495757551908,0.9921634197235107,-4.450766060778026,1490.242654800415,8719.8095703125
