epoch,lr,train_loss,val_pooled_db_w1,val_pooled_db_w2,val_pooled_db_w3,val_pooled_db_w4,val_median_db_w1,val_median_db_w4,val_align_median_db_w1,val_rho_w1,copy_last_pooled_db_w1,epoch_sec,gpu_mem_mb
1,0.0003,0.7680383576606922,-7.0744239435962175,-6.659919881961037,-6.088922753105175,-5.577912291325939,-7.816964037879675,-6.303216682830266,-8.812284888560573,0.9319585561752319,-4.46499305899548,3501.986058950424,13116.5029296875
2,0.0002995135962201315,0.16475473032102234,-9.45236964160593,-8.76272064266027,-7.949186551820411,-7.098392690558036,-11.257210503837834,-8.57941757559076,-12.430577807309714,0.9710096120834351,-4.46499305899548,2862.0624389648438,13116.5029296875
3,0.00029805753939568687,0.12483557909480508,-9.742454992723324,-8.906911592427356,-7.966871337092641,-7.143746257803912,-11.914383402322294,-9.02671715913939,-13.004674960948101,0.9746462106704712,-4.46499305899548,2869.420378446579,13116.5029296875
4,0.00029564127261390776,0.10927008108721728,-9.88579682447884,-9.067793120894919,-8.092502560630132,-7.268391780833774,-12.166755215583947,-9.277733833970878,-13.398744240531897,0.9768714904785156,-4.46499305899548,3001.3244495391846,13116.5029296875
5,0.00029228046629207175,0.09968659195134787,-10.051028107083669,-9.219792352820708,-8.294837410541696,-7.39189728980683,-12.421970656745831,-9.294735792553737,-13.500328660568258,0.9774124026298523,-4.46499305899548,3223.3234741687775,13116.5029296875
6,0.0002879969165488236,0.09287754677299177,-10.274720038869003,-9.417181747829058,-8.390697650570477,-7.515708321520826,-12.775761336178707,-9.592335331349421,-13.93166844729299,0.9795702695846558,-4.46499305899548,3201.375519514084,13116.5029296875
7,0.0002828184038479814,0.08778402744341382,-10.34224444340505,-9.419074945511134,-8.3652835195858,-7.505489093091237,-12.827745256635225,-9.581422079231992,-13.894216348237205,0.9793914556503296,-4.46499305899548,2983.9183642864227,13116.5029296875
8,0.0002767785128315692,0.08386004411222976,-10.378491023042626,-9.460555054855773,-8.419438479809028,-7.5019365220809275,-13.069971949957594,-9.512768961034325,-14.135794018410458,0.9805176258087158,-4.46499305899548,3395.5539360046387,13116.5029296875
9,0.00026991641451052517,0.08059852545092601,-10.327738548165357,-9.397877947131153,-8.399392056576904,-7.487956450486353,-12.959351199404644,-9.502995716470718,-14.083887631070787,0.9802809953689575,-4.46499305899548,2998.839527130127,13116.5029296875
10,0.00026227661222566516,0.07797899358623636,-10.43556211835574,-9.499886454414813,-8.511190793965765,-7.604108801489817,-13.088810413018894,-9.57635225901619,-14.174284658007693,0.9806911945343018,-4.46499305899548,2846.635717153549,13116.5029296875
11,0.0002539086530264399,0.07564884019587877,-10.47057715745234,-9.539667419030936,-8.543729183832085,-7.618373023845049,-13.305222036477318,-9.589440241232339,-14.312738715038817,0.9813028573989868,-4.46499305899548,2832.8039660453796,13116.5029296875
12,0.0002448668063393066,0.07386851966291141,-10.477469249199103,-9.523546762236508,-8.510589858022751,-7.582153956425519,-13.31554538017176,-9.625831162939141,-14.363082814357988,0.981520414352417,-4.46499305899548,2834.290785551071,13116.5029296875
13,0.00023520971200967334,0.07204265909621746,-10.381289842532768,-9.44946801087275,-8.471976005040414,-7.621740395215237,-13.184145100624132,-9.548186106475246,-14.257162277695747,0.981059730052948,-4.46499305899548,2833.7182445526123,13116.5029296875
14,0.000225,0.07027673646249222,-10.496080184050872,-9.55882961030934,-8.549991268273677,-7.669090463248686,-13.35027661724023,-9.721805984766538,-14.486244597904513,0.9820418357849121,-4.46499305899548,2839.618060350418,13116.5029296875
15,0.0002143038842104581,0.06894552527119015,-10.34054959630489,-9.38714275495373,-8.380109942725753,-7.495002230239697,-13.049931686434823,-9.498390176431645,-14.156968165920704,0.9806133508682251,-4.46499305899548,2829.712209224701,13116.5029296875
16,0.0002031907330563803,0.0675291905155505,-10.479455846844843,-9.508385943177696,-8.466769194655303,-7.554458675656312,-13.409735088561906,-9.365056332218899,-14.418375372232791,0.981756329536438,-4.46499305899548,2821.392690896988,13116.5029296875
17,0.0001917326195874679,0.06629766475862194,-10.487466749082369,-9.53093108538034,-8.498635471550536,-7.59025606103798,-13.39382021290719,-9.555217838195812,-14.492714740509365,0.9820687770843506,-4.46499305899548,2828.7769951820374,13116.5029296875
18,0.00018000385406640666,0.0652363814140125,-10.507107204447996,-9.533553475978401,-8.48382704018393,-7.550513328509178,-13.364689872310953,-9.427344174446041,-14.391690552603158,0.9816428422927856,-4.46499305899548,2821.875034093857,13116.5029296875
19,0.00016808050203829842,0.06419545661915153,-10.535305097931296,-9.579027053944255,-8.528209598777595,-7.606515282591907,-13.572429614012353,-9.519719203681783,-14.638588156913904,0.9826662540435791,-4.46499305899548,2819.140784263611,13116.5029296875
