epoch,lr,train_loss,val_pooled_db_w1,val_pooled_db_w2,val_pooled_db_w3,val_pooled_db_w4,val_median_db_w1,val_median_db_w4,val_align_median_db_w1,val_rho_w1,copy_last_pooled_db_w1,epoch_sec,gpu_mem_mb
1,0.0003,0.7405670411637472,-7.189590896610723,-6.727248825462868,-6.077885694076585,-5.460801975429152,-8.03303237590331,-6.224319606805033,-9.04582026142688,0.9356434345245361,-4.46499305899548,3410.339517354965,14224.6787109375
2,0.0002995135962201315,0.15765339312361473,-9.579867522709156,-8.86261669701497,-7.913988398732262,-7.151411435135718,-11.362237362003562,-8.476136685938812,-12.421445370914094,0.9709477424621582,-4.46499305899548,3639.3213229179382,14224.6787109375
3,0.00029805753939568687,0.1196533617629091,-9.932484220447725,-9.143152009663076,-8.228285977637983,-7.406284799899873,-11.946539597773025,-9.145130619009343,-13.040827196860214,0.9748591184616089,-4.46499305899548,3422.401874065399,14224.6787109375
4,0.00029564127261390776,0.10385350978233492,-9.792068241560285,-8.951519552696496,-8.099981018158953,-7.2374390212281625,-11.91163912128261,-9.283276805427784,-12.912110963963297,0.9740927219390869,-4.46499305899548,3460.612950563431,14224.6787109375
5,0.00029228046629207175,0.09352267622529944,-10.409482013048565,-9.559432919673808,-8.654715223039581,-7.754517856476469,-13.006096108463256,-9.831030411881493,-13.87509736387795,0.9792996048927307,-4.46499305899548,3441.1743738651276,14224.6787109375
6,0.0002879969165488236,0.08649866255198774,-10.509853610414726,-9.585562496836364,-8.652898140737602,-7.851576786048059,-13.259285230936872,-10.035586304127863,-14.113357535221471,0.9804157018661499,-4.46499305899548,3348.5555441379547,14224.6787109375
7,0.0002828184038479814,0.08118051890917337,-10.612449843973222,-9.760318010663813,-8.794418304376741,-7.903277854899398,-13.496607497399474,-10.184693715308303,-14.3461602135406,0.9814475774765015,-4.46499305899548,3474.107310771942,14224.6787109375
8,0.0002767785128315692,0.07700976937578459,-10.61789775908407,-9.714078853939952,-8.78839538042596,-7.872626760610886,-13.52610116286931,-10.258308463659846,-14.365759319408863,0.9815318584442139,-4.46499305899548,3311.434666156769,14224.6787109375
9,0.00026991641451052517,0.07379554521307316,-10.703602674528437,-9.784366368613389,-8.838730245744912,-7.966472191724467,-13.603559783204691,-10.322527182647676,-14.508961673253147,0.9821363687515259,-4.46499305899548,3338.302022218704,14224.6787109375
10,0.00026227661222566516,0.07108783345115773,-10.653180128009721,-9.721799046215349,-8.812021202036217,-7.945931516417957,-13.762521575733846,-10.28862897177821,-14.61278798928639,0.9825620651245117,-4.46499305899548,3309.5586874485016,14224.6787109375
11,0.0002539086530264399,0.06897065817844168,-10.689981020824614,-9.747604234865458,-8.81060214191719,-7.939374508793052,-13.783152207039233,-10.311561449301507,-14.660562427557503,0.9827545285224915,-4.46499305899548,3307.6478719711304,14224.6787109375
12,0.0002448668063393066,0.06705122683652359,-10.746175247511957,-9.823678385336315,-8.915622894204013,-8.024299580564719,-13.912008476169389,-10.389472705532071,-14.759831434758969,0.9831476211547852,-4.46499305899548,3303.325447320938,14224.6787109375
13,0.00023520971200967334,0.06532428417836031,-10.775725121320725,-9.86500982017664,-8.903225056435527,-8.021653080797101,-13.891121495528015,-10.406072357676294,-14.73896115740619,0.9830657243728638,-4.46499305899548,3431.433259010315,14224.6787109375
14,0.000225,0.06392008189870206,-10.787494013362014,-9.876972609758404,-8.927598554179156,-8.02647892900596,-13.99440109493209,-10.502823921764222,-14.798509748879027,0.9832983016967773,-4.46499305899548,3570.6275069713593,14224.6787109375
15,0.0002143038842104581,0.0626840647279195,-10.767140235575956,-9.774207565552338,-8.843358245735807,-7.958619298029511,-13.784872328435213,-10.319603941832323,-14.658999419542848,0.98274827003479,-4.46499305899548,3532.90007686615,14224.6787109375
16,0.0002031907330563803,0.0616575042198327,-10.810007708360407,-9.875685177884945,-8.949690402483272,-8.078962987060464,-14.032990264228292,-10.482914853387964,-14.868854346632212,0.9835689067840576,-4.46499305899548,3554.790254354477,14224.6787109375
17,0.0001917326195874679,0.06053253603308804,-10.818756828860987,-9.860921658054073,-8.904630461677081,-8.003447228527365,-14.097360769358591,-10.463611076659294,-14.88952181510145,0.9836475253105164,-4.46499305899548,3485.238815307617,14224.6787109375
18,0.00018000385406640666,0.059613440203916755,-10.752273691637393,-9.813939218464528,-8.884641692376537,-7.9686231723894565,-13.973583398642324,-10.429724856838131,-14.72186692530691,0.9829983711242676,-4.46499305899548,3488.741031885147,14224.6787109375
19,0.00016808050203829842,0.058855908079466106,-10.785251294486518,-9.856058521103995,-8.91642074740438,-8.031635801021586,-14.050761816354818,-10.480876983368784,-14.814626284966469,0.9833606481552124,-4.46499305899548,3493.5432028770447,14224.6787109375
20,0.00015603989101641228,0.05808870952801592,-10.782009342838077,-9.858099311790333,-8.945964027069556,-8.029564541412258,-14.050044710424089,-10.42647488662693,-14.825841727705175,0.9834039211273193,-4.46499305899548,3492.7186448574066,14224.6787109375
21,0.00014396010898358775,0.05741820833974394,-10.799421565071995,-9.838007624391276,-8.909314052774702,-7.998249771884932,-14.030528137073581,-10.423344745287665,-14.80949165303408,0.983340859413147,-4.46499305899548,3488.8425917625427,14224.6787109375
