epoch,lr,train_loss,val_pooled_db_w1,val_pooled_db_w2,val_pooled_db_w3,val_pooled_db_w4,val_median_db_w1,val_median_db_w4,val_align_median_db_w1,val_rho_w1,copy_last_pooled_db_w1,epoch_sec,gpu_mem_mb
1,0.0003,0.7575665816532698,-7.519290145548851,-7.011385339974662,-6.336901854689451,-5.731374455635644,-8.324785537705928,-6.499800473993491,-9.332346053802974,0.9398840665817261,-4.46499305899548,2718.5778357982635,12073.8515625
2,0.0002995135962201315,0.16228745198393127,-9.59710696912931,-8.890645135880831,-8.077646410257774,-7.238376491596535,-11.439397964239447,-8.86046191575194,-12.526717272690806,0.9716535806655884,-4.46499305899548,2219.216692209244,12073.8515625
3,0.00029805753939568687,0.12500637197180034,-9.942584268070792,-9.155797017516962,-8.265353450505687,-7.393993605790605,-12.236568520981612,-9.272217500593447,-13.444100347732636,0.9771146178245544,-4.46499305899548,2322.5505912303925,12073.8515625
4,0.00029564127261390776,0.11024982394801251,-10.171443166246533,-9.289205164754044,-8.312139868187298,-7.455042911617356,-12.538766576201827,-9.489141506300907,-13.681009538682986,0.9783430099487305,-4.46499305899548,2354.1667399406433,12073.8515625
5,0.00029228046629207175,0.10084531315314343,-10.335973111546013,-9.399964048623701,-8.438140549712577,-7.56775966641716,-12.829468755207717,-9.674524610152334,-14.01935150918992,0.9799827933311462,-4.46499305899548,2258.018409013748,12073.8515625
6,0.0002879969165488236,0.09422806884078451,-10.380984623831777,-9.487023736306329,-8.461299951990819,-7.593926951712752,-12.970398205071215,-9.732475481108814,-13.994551271560816,0.9798669815063477,-4.46499305899548,2220.9295897483826,12073.8515625
7,0.0002828184038479814,0.08933431808995862,-10.466563313582313,-9.532628377573793,-8.544864410293966,-7.632432019743851,-13.192879908446013,-9.63875952823414,-14.175753672396382,0.9806978106498718,-4.46499305899548,2220.6942460536957,12073.8515625
8,0.0002767785128315692,0.08529713729433269,-10.548615209407068,-9.570048332456423,-8.532814498288936,-7.685484393410134,-13.289588978077607,-9.746053042340378,-14.298628909275433,0.9812414646148682,-4.46499305899548,2338.5176453590393,12073.8515625
9,0.00026991641451052517,0.08197356579223498,-10.5088267883219,-9.537683142689474,-8.566890420542801,-7.642446230935765,-13.30621069452398,-9.818838257163868,-14.290403958315478,0.9812055230140686,-4.46499305899548,2204.6855697631836,12073.8515625
10,0.00026227661222566516,0.07933437534472233,-10.526948648828586,-9.492459669590497,-8.539056426385164,-7.6568897207421145,-13.410034146072817,-9.728771069537022,-14.460929921445874,0.9819358587265015,-4.46499305899548,2195.168690919876,12073.8515625
11,0.0002539086530264399,0.07718630231337423,-10.579781802989945,-9.579049851104863,-8.53758863135969,-7.666331586178632,-13.429274608982546,-9.681235164047905,-14.436973387365434,0.9818350076675415,-4.46499305899548,2213.8323385715485,12073.8515625
12,0.0002448668063393066,0.07521320730708862,-10.569301579618536,-9.564964763926293,-8.59728733867766,-7.710429511255942,-13.510898942401901,-9.837370540423484,-14.526476867605432,0.9822089076042175,-4.46499305899548,2204.7484850883484,12073.8515625
13,0.00023520971200967334,0.07347030256037458,-10.497345004737024,-9.470932573114274,-8.449123391975242,-7.601512968656912,-13.405337570241379,-9.65104607436771,-14.478640493301125,0.982010006904602,-4.46499305899548,2195.5045595169067,12073.8515625
14,0.000225,0.07190498403655825,-10.214498425814384,-9.305326495764058,-8.308682759499836,-7.45308765683825,-12.995753239067675,-9.556408646185496,-14.125106668513316,0.9804691076278687,-4.46499305899548,2192.4132783412933,12073.8515625
15,0.0002143038842104581,0.07054142798159761,-10.557789221477638,-9.57101236055014,-8.564514143067832,-7.702038109209046,-13.569633371960496,-9.722863195485996,-14.64788911122369,0.982703685760498,-4.46499305899548,2193.9560549259186,12073.8515625
16,0.0002031907330563803,0.06935889107942766,-10.495396079193425,-9.481979820705588,-8.389427326334063,-7.541490257485397,-13.485585837680876,-9.622465142412029,-14.560747661642804,0.9823499917984009,-4.46499305899548,2193.120681285858,12073.8515625
17,0.0001917326195874679,0.06818320021609142,-10.493875768817894,-9.493131933386653,-8.460942218508837,-7.569502220618933,-13.453239112663447,-9.671967411212094,-14.554293638325113,0.9823235273361206,-4.46499305899548,2187.8399918079376,12073.8515625
