epoch,lr,train_loss,val_pooled_db_w1,val_pooled_db_w2,val_pooled_db_w3,val_pooled_db_w4,val_median_db_w1,val_median_db_w4,val_align_median_db_w1,val_rho_w1,copy_last_pooled_db_w1,epoch_sec,gpu_mem_mb
1,0.0003,0.8064778187798743,-6.860939352407361,-6.432265001661252,-5.854950429467652,-5.317381915112539,-7.51424258331593,-6.024760366005083,-8.628142244324842,0.9288989305496216,-4.46499305899548,2367.986865758896,11883.892578125
2,0.0002995135962201315,0.16762472996298738,-9.351052033388319,-8.602039492870693,-7.698832168005274,-6.864901839768334,-11.230934594281194,-8.487885648916459,-12.46011787480916,0.9712090492248535,-4.46499305899548,1891.2600347995758,11883.892578125
3,0.00029805753939568687,0.12237644929663297,-9.919639706832557,-9.147648409929525,-8.114904399259338,-7.263316647761101,-12.097776317469652,-9.218620745986389,-13.084310106815696,0.9751127362251282,-4.46499305899548,1891.692482471466,11883.892578125
4,0.00029564127261390776,0.10521079549814494,-10.18918305491695,-9.355901461793652,-8.38154540080937,-7.472491812236823,-12.631794614486026,-9.568186376936458,-13.664339039579476,0.9782588481903076,-4.46499305899548,1896.0687544345856,11883.892578125
5,0.00029228046629207175,0.09499740963287714,-10.3299507900863,-9.490553375248812,-8.531478296580449,-7.6498341076332865,-12.913346611495598,-9.818992199370545,-13.963729460110423,0.9797221422195435,-4.46499305899548,1895.9236211776733,11883.892578125
6,0.0002879969165488236,0.0879297534392411,-10.458374805576291,-9.502744533161646,-8.53723975365548,-7.655653774561962,-13.14023205205067,-9.944621385295896,-14.103820537348135,0.9803721904754639,-4.46499305899548,1897.9079866409302,11883.892578125
7,0.0002828184038479814,0.08248253592220994,-10.512331035971371,-9.578810207292785,-8.575593611748026,-7.6848291314603925,-13.227274642493487,-9.960415671698389,-14.235491757039192,0.9809640645980835,-4.46499305899548,1894.4602391719818,11883.892578125
8,0.0002767785128315692,0.07842619353041357,-10.59656338960308,-9.667344811307984,-8.721673822044012,-7.7885221132764295,-13.466607720448758,-10.304777339086533,-14.481084125420463,0.9820202589035034,-4.46499305899548,1894.9884395599365,11883.892578125
9,0.00026991641451052517,0.07531968501760829,-10.65552897445935,-9.688907411074933,-8.68603752992192,-7.784405086982122,-13.533372321982856,-10.253811171459756,-14.460065980836086,0.9819322228431702,-4.46499305899548,1895.5750243663788,11883.892578125
10,0.00026227661222566516,0.07258952890673179,-10.700855526652457,-9.776516639855403,-8.784630264961582,-7.8936774673043795,-13.660876695714315,-10.410012880769376,-14.591873132235158,0.9824771881103516,-4.46499305899548,1901.1197440624237,11883.892578125
11,0.0002539086530264399,0.07032545366370085,-10.740228648833964,-9.788531350829265,-8.844555657652414,-7.942400500895133,-13.793234200625278,-10.394115778460794,-14.658076264795621,0.982744574546814,-4.46499305899548,1895.5074286460876,11883.892578125
12,0.0002448668063393066,0.06837951585651894,-10.75706391821839,-9.796508949989892,-8.80236384913264,-7.8904272624083855,-13.75603255772918,-10.277909547821999,-14.652008698072716,0.9827202558517456,-4.46499305899548,1895.6522030830383,11883.892578125
13,0.00023520971200967334,0.06678459847360997,-10.693879087486478,-9.786277788885512,-8.793596999902475,-7.890693729576031,-13.771002974494293,-10.38267046544653,-14.678819004148565,0.9828275442123413,-4.46499305899548,1898.114425420761,11883.892578125
14,0.000225,0.06535632027590343,-10.719385761999792,-9.811169940354036,-8.842177666857504,-7.9385843447689926,-13.833715724602692,-10.348937278759216,-14.718574289578886,0.9829853773117065,-4.46499305899548,1894.7677810192108,11883.892578125
15,0.0002143038842104581,0.06397459673841496,-10.77251808119502,-9.814242520047095,-8.835283038917854,-7.913178645495666,-13.921685737710984,-10.28198793193325,-14.779164488519253,0.9832230806350708,-4.46499305899548,1892.0144011974335,11883.892578125
16,0.0002031907330563803,0.06278199476583274,-10.78559632861234,-9.861389467302395,-8.816582596475412,-7.88396623889076,-13.976996892823115,-10.37168560587491,-14.81934297638665,0.9833788871765137,-4.46499305899548,1890.3889179229736,11883.892578125
17,0.0001917326195874679,0.061781665539626635,-10.74572111525444,-9.824736938343264,-8.776386631552398,-7.86676103991506,-13.920081137734988,-10.357206869895013,-14.78404140677502,0.9832420349121094,-4.46499305899548,1890.7775058746338,11883.892578125
18,0.00018000385406640666,0.06083912596434346,-10.79244017564816,-9.823812468543213,-8.81384993660814,-7.833536573837839,-13.94344477617705,-10.21089500110892,-14.805709190030305,0.9833261966705322,-4.46499305899548,1890.9630825519562,11883.892578125
19,0.00016808050203829842,0.059977234427056644,-10.777790043158577,-9.858365277525905,-8.819958835821087,-7.867621250778912,-13.941733928247544,-10.182361787424924,-14.825071101453409,0.9834009408950806,-4.46499305899548,1950.6851029396057,11883.892578125
20,0.00015603989101641228,0.05918631603482414,-10.780316808238815,-9.849137413519792,-8.805026830654803,-7.828426180411493,-13.9851678870717,-10.24206603000123,-14.826266399100126,0.983405590057373,-4.46499305899548,1960.9728920459747,11883.892578125
21,0.00014396010898358775,0.058500652578880104,-10.806180765879907,-9.860398112049845,-8.814119619113583,-7.84325965293654,-14.016804641285527,-10.18288234515508,-14.820081156638476,0.9833817481994629,-4.46499305899548,2029.7896101474762,11883.892578125
