epoch,lr,train_loss,val_pooled_db_w1,val_pooled_db_w2,val_pooled_db_w3,val_pooled_db_w4,val_median_db_w1,val_median_db_w4,val_align_median_db_w1,val_rho_w1,copy_last_pooled_db_w1,epoch_sec,gpu_mem_mb
1,0.0003,0.7937040925359559,-6.975795956892727,-6.522582895735638,-5.969112988328038,-5.458358606660147,-7.5603165263384575,-6.227165566994925,-8.535486470438794,0.9273056387901306,-4.46499305899548,2008.4579198360443,11883.892578125
2,0.0002995135962201315,0.16749315058536357,-9.352195409855868,-8.639004328604871,-7.762845093111306,-7.037108201801607,-11.267171407964137,-8.590947424093738,-12.379177257682024,0.9706592559814453,-4.46499305899548,1986.0184330940247,11883.892578125
3,0.00029805753939568687,0.12651215455602977,-9.83362044238245,-9.109209008309804,-8.14837922527601,-7.381208323746714,-12.012589838396233,-9.094334236372067,-13.105844179589187,0.9752373695373535,-4.46499305899548,1995.348516702652,11883.892578125
4,0.00029564127261390776,0.11144503663507696,-10.051554255616622,-9.213570019061203,-8.271949802676348,-7.361191509424909,-12.182674123711951,-9.336463655712514,-13.464451903792657,0.9772228598594666,-4.46499305899548,1998.5113427639008,11883.892578125
5,0.00029228046629207175,0.10252352220112447,-10.251062560759358,-9.352323350510307,-8.361963657833284,-7.428132948377627,-12.733028822033587,-9.57772724099922,-13.718975426181839,0.9785336256027222,-4.46499305899548,1992.0857694149017,11883.892578125
6,0.0002879969165488236,0.09576104203242529,-10.230151314284814,-9.292614109866106,-8.331853919466658,-7.446792569518426,-12.63833440616971,-9.537961689322977,-13.654491681696525,0.9782088994979858,-4.46499305899548,2001.7816412448883,11883.892578125
7,0.0002828184038479814,0.09021380422808209,-10.343871571835301,-9.39299253500748,-8.355673680759189,-7.547742907599808,-12.973706934509568,-9.648381804345078,-13.935728451811794,0.979589581489563,-4.46499305899548,2010.4057700634003,11883.892578125
8,0.0002767785128315692,0.08594753111090817,-10.339336621116681,-9.368312922311924,-8.395010953025938,-7.522256987911077,-12.96792952587596,-9.727718190464198,-13.96884265323134,0.9797462224960327,-4.46499305899548,2579.310200691223,11883.892578125
9,0.00026991641451052517,0.08271340181157,-10.3368521501497,-9.348637230808182,-8.384401013347173,-7.511338092388567,-13.068809656205087,-9.679496710380596,-14.063468424937124,0.980187177658081,-4.46499305899548,2231.715497970581,11883.892578125
10,0.00026227661222566516,0.07995606235457026,-10.413819313420609,-9.441033703949142,-8.455808052296184,-7.587720657211493,-13.19799809623532,-9.905166309016824,-14.246482105292044,0.9810126423835754,-4.46499305899548,2273.632939338684,11883.892578125
11,0.0002539086530264399,0.07786278021155157,-10.43321426726764,-9.360639829385285,-8.384398837388815,-7.494208967136851,-13.279166147695307,-9.685959834069006,-14.293909134747857,0.9812208414077759,-4.46499305899548,2152.879767179489,11883.892578125
12,0.0002448668063393066,0.07585225150585291,-10.434434323047784,-9.443017389205968,-8.459719100509423,-7.581719858411871,-13.312636140817267,-9.857080130853394,-14.35283034448981,0.9814763069152832,-4.46499305899548,2027.3545002937317,11883.892578125
13,0.00023520971200967334,0.07396679545476109,-10.417029466293002,-9.446398247743574,-8.47926337580883,-7.590696352652358,-13.304163665464223,-9.800994656129383,-14.287825558644794,0.981194257736206,-4.46499305899548,1905.9524374008179,11883.892578125
14,0.000225,0.07224701238426415,-10.449996722581778,-9.418319987890406,-8.367806738581088,-7.4806398856154335,-13.408169693730043,-9.5864892832474,-14.402177893208641,0.9816875457763672,-4.46499305899548,1905.8477222919464,11883.892578125
15,0.0002143038842104581,0.07080397998086783,-10.390459057024648,-9.349163418773433,-8.275961145683969,-7.397206636806852,-13.28985477394937,-9.61585878434445,-14.309312568554923,0.981287956237793,-4.46499305899548,1906.1995341777802,11883.892578125
16,0.0002031907330563803,0.06936513429282239,-10.418986649838224,-9.385748723341102,-8.335801054926268,-7.4544859280742735,-13.32853096679334,-9.66136694005079,-14.345399749287076,0.981444239616394,-4.46499305899548,1897.8204851150513,11883.892578125
17,0.0001917326195874679,0.06801999486264092,-10.427669614460864,-9.438225563589084,-8.432859011052779,-7.501562376193434,-13.528552126966249,-9.733476710608766,-14.51366868728757,0.9821558594703674,-4.46499305899548,1900.1059646606445,11883.892578125
18,0.00018000385406640666,0.0668276596484764,-10.376069109743408,-9.364436154085565,-8.352675841593225,-7.4290136509077165,-13.314635276148502,-9.54310134548561,-14.38177155583746,0.9816004633903503,-4.46499305899548,1900.5021765232086,11883.892578125
